                Name	              Artist	               Album	               Genre	      Time
    Grimy as a Gooch	           Lil Dicky	             So Hard	             Hip Hop	      3:43
 Attached At The Hip	           Lil Dicky	             So Hard	             Hip Hop	      4:05
       From Darkness	           Eluveitie	             Origins	               Metal	      4:11
            Too High	           Lil Dicky	             So Hard	             Hip Hop	      5:46
 Beneath Dead Leaves	       Skeletonwitch	  Serpents Unleashed	               Metal	      3:07
         Jewish Flow	           Lil Dicky	             So Hard	             Hip Hop	      4:27
                Bars	           Lil Dicky	             So Hard	             Hip Hop	      4:06
        Ex-Boyfriend	           Lil Dicky	             So Hard	             Hip Hop	      5:23
                ATWA	    System Of A Down	            Toxicity	               Metal	      2:56
          Solidified	            Gramatik	     #digitalfreedom	             Dubstep	      5:42
          Chop Suey!	    System Of A Down	            Toxicity	               Metal	      3:30
                Alto	       Beats Antique	         Elektrafone	         Electronica	      4:17
          Club Night	           Lil Dicky	             So Hard	             Hip Hop	      3:14
   All I Ever Wanted	           Shinedown	     Leave A Whisper	           Alt. Rock	      4:10
               Oh No	           Girl Talk	             All Day	           Girl Talk	      5:39
            Clay Man	           In Flames	             Clayman	               Metal	      3:28
         Suburban Me	           In Flames	             Clayman	               Metal	      3:35
   Colorado Sunshine	               3OH!3	                Want	                Rock	      3:22
        Brian Wilson	    Barenaked Ladies	              Gordon	               Other	      4:45
            Track 02	          Hollow Leg	            Instinct	                    	      4:49
      Ordinary Story	           In Flames	              Colony	               Metal	      4:16
              Unwept	       Skeletonwitch	  Serpents Unleashed	               Metal	      2:25
        Still Around	               3OH!3	                Want	                Rock	      3:07
      In Front Of Me	   Infected Mushroom	   Vicious Delicious	          Electronic	      4:28
             Egyptic	       Beats Antique	     Blind Threshold	               Other	      5:49
 I Really Do Believe	            Gramatik	        No Shortcuts	          Electronic	      5:12
    Buried Monuments	    Job for a Cowboy	           Sun Eater	               Metal	      4:56
    Dig up Her Bones	             Misfits	     American Psycho	            Rock/Pop	      3:01
   This Evil Embrace	       Skeletonwitch	  Serpents Unleashed	               Metal	      3:39
             Skytalk	       Beats Antique	         Elektrafone	         Electronica	      4:12
                King	           Eluveitie	             Origins	               Metal	      4:33
        Take It Back	            Gramatik	        No Shortcuts	          Electronic	      5:02
    Day Of The Lords	        Joy Division	   Unknown Pleasures	          Indie Rock	      4:47
          White Dude	           Lil Dicky	             So Hard	             Hip Hop	      4:22
               Sugar	    System Of A Down	    System Of A Down	         Alternative	      2:33
        Ralph Wiggum	 The Bloodhound Gang	           <Unknown>	           <Unknown>	      2:54
       Special Place	   Infected Mushroom	   Vicious Delicious	          Electronic	      6:53
        Pennsylvania	 The Bloodhound Gang	           <Unknown>	           <Unknown>	      2:59
             Victory	       Break Science	       Monolith Code	                    	      3:26
No Shortcuts (Intro)	            Gramatik	        No Shortcuts	          Electronic	      2:04
            Track 05	          Hollow Leg	            Instinct	                    	      4:55
             Suliman	   Infected Mushroom	   Vicious Delicious	          Electronic	      6:10
    Talkbox Intended	            Gramatik	     #digitalfreedom	          Glitch-Hop	      6:10
         Heavyweight	   Infected Mushroom	   Vicious Delicious	          Electronic	      8:41
Unending, Everliving	       Skeletonwitch	  Serpents Unleashed	               Metal	      3:03
       Dont Trust Me	               3OH!3	                Want	                Rock	      3:12
            Track 03	          Hollow Leg	            Instinct	                    	      6:51
   Rejoice In Misery	       Skeletonwitch	 Forever Abomination	               Metal	      2:46
           Otherland	      Blind Guardian	 A Twist In The Myth	         Heavy Metal	      5:15
           On and On	           Girl Talk	             All Day	           Girl Talk	      5:09
       Triple Double	           Girl Talk	             All Day	           Girl Talk	      6:27
            Track 06	          Hollow Leg	            Instinct	                    	      5:44
          Staying In	           Lil Dicky	             So Hard	             Hip Hop	      3:28
           Sky Hooks	           Lil Dicky	             So Hard	             Hip Hop	      4:03
          The Tremor	           Nightrage	     Sweet Vengeance	       General Metal	      3:17
           Balls Out	 The Bloodhound Gang	           <Unknown>	           <Unknown>	      4:21
     Never That Easy	            Gramatik	        No Shortcuts	          Electronic	      5:27
              Colony	           In Flames	              Colony	               Metal	      4:38
         Zombie Inc.	           In Flames	              Colony	               Metal	      5:03
Change The Formality	   Infected Mushroom	   Vicious Delicious	          Electronic	      7:44
  No Children (Live)	  The Mountain Goats	                    	                    	      3:35
    Elusive Emotions	           Nightrage	     Sweet Vengeance	       General Metal	      3:45
Erased And Forgotten	       Skeletonwitch	 Forever Abomination	               Metal	      2:24
           PunkB*tch	               3OH!3	                Want	                Rock	      3:51
  I Cant Do It Alone	               3OH!3	                Want	                Rock	      3:00
      Down In A Hole	     Alice In Chains	       MTV Unplugged	              Grunge	      5:46
          Spiderbite	       Beats Antique	     Blind Threshold	               Other	      4:11
           Liquified	            Gramatik	        No Shortcuts	          Electronic	      5:32
     Sun of Nihility	    Job for a Cowboy	           Sun Eater	               Metal	      5:33
            Nutshell	     Alice In Chains	       MTV Unplugged	              Grunge	      4:57
      Sludge Factory	     Alice In Chains	       MTV Unplugged	              Grunge	      4:36
          White Room	    Demons & Wizards	    Demons & Wizards	               Metal	      4:59
      Midlife Crisis	       Faith No More	          Angel Dust	           Rap Metal	      4:23
    Beneath The Mire	               Opeth	      Ghost Reveries	               Metal	      7:57
           So Bright	       Pretty Lights	           So Bright	                    	      5:56
  Of Ash And Torment	       Skeletonwitch	 Forever Abomination	               Metal	      2:55
From a Cloudless Sky	       Skeletonwitch	  Serpents Unleashed	               Metal	      2:48
             Richman	               3OH!3	                Want	                Rock	      3:19
         Angry Chair	     Alice In Chains	       MTV Unplugged	              Grunge	      4:36
   Heaven Beside You	     Alice In Chains	       MTV Unplugged	              Grunge	      5:38
               Frogs	     Alice In Chains	       MTV Unplugged	              Grunge	      7:30
      Forced To Rock	               Arsis	Starve For The Devil	               Metal	      2:56
          Lonkkaluut	         Korpiklaani	          Ukon Wacka	          Indie Rock	      5:39
  Ghost Of Perdition	               Opeth	      Ghost Reveries	               Metal	     10:29
        You Get High	       Pretty Lights	                    	        Hip-Hop Soul	      4:20
    Smoke Two Joints	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      2:53
             Aerials	    System Of A Down	            Toxicity	               Metal	      6:11
          No Excuses	     Alice In Chains	       MTV Unplugged	              Grunge	      4:57
        Got Me Wrong	     Alice In Chains	       MTV Unplugged	              Grunge	      4:59
     Carry The Torch	           Eluveitie	             Origins	               Metal	      4:37
 From Out Of Nowhere	       Faith No More	      The Real Thing	   Alternative Metal	      3:22
    Fight With Tools	             Flobots	    Fight With Tools	             Hip-Hop	      4:51
 What It's All About	           Girl Talk	    Feed The Animals	                 Pop	      4:14
Cities of the Future	   Infected Mushroom	         Love Parade	               Dance	      7:01
             Digital	        Joy Division	 Substance 1977-1980	            New Wave	      2:50
       Beatin' On Ma	           Lil Dicky	             So Hard	             Hip Hop	      3:19
       Astro Zombies	             Misfits	             Misfits	            Rock/Pop	      2:12
         Last Caress	             Misfits	          Static Age	            Rock/Pop	      1:57
             Cracker	                ohGr	                Welt	         Alternative	      3:31
    Comfortably Numb	          Pink Floyd	      The Wall (CD2)	         Psychedelic	      6:21
            Over Now	     Alice In Chains	       MTV Unplugged	              Grunge	      7:12
 Ghosts I Have Known	          Clam Fight	            Volume I	               Metal	      7:53
        Steady Shock	           Girl Talk	             All Day	           Girl Talk	      5:47
     Brave New World	         Iron Maiden	     Brave New World	               Metal	      6:19
            Disorder	        Joy Division	   Unknown Pleasures	          Indie Rock	      3:31
    Burned from Bone	       Skeletonwitch	  Serpents Unleashed	               Metal	      2:38
    Plush (acoustic)	 Stone Temple Pilots	           Thank You	                Rock	      3:54
             Badfish	             Sublime	       Greatest Hits	Ska Revival/3rd Wave	      3:09
             Spiders	    System of a Down	    System of a Down	               Other	      3:35
             Brother	     Alice In Chains	       MTV Unplugged	              Grunge	      5:27
               Lndp3	   Apoptygma Berzerk	    Welcome To Earth	             Electro	      5:20
              Day 69	         Decapitated	Organic Hallucinosis	               Metal	      3:14
          Handlebars	             Flobots	    Fight With Tools	             Hip-Hop	      3:26
              Eraser	           Hypocrisy	         The Arrival	               Metal	      4:26
              Skulls	             Misfits	             Misfits	            Rock/Pop	      2:01
         No Children	  The Mountain Goats	                    	                    	      2:48
    Keep Em Bouncin'	       Pretty Lights	                    	                    	      6:47
 Choke Upon Betrayal	       Skeletonwitch	 Forever Abomination	               Metal	      2:35
           Big Empty	 Stone Temple Pilots	           Thank You	                Rock	      4:56
                BYOB	    System of a Down	           Mesmerize	                Rock	      4:01
          P.L.U.C.K.	    System Of A Down	    System Of A Down	         Alternative	      3:37
            Toxicity	    System Of A Down	            Toxicity	               Metal	      3:39
           South Paw	            Tomahawk	          Oddfellows	          Indie Rock	      4:00
             Rooster	     Alice In Chains	       MTV Unplugged	              Grunge	      6:41
               Would	     Alice In Chains	       MTV Unplugged	              Grunge	      3:43
